Account__c,Additional_Counties__c,Additional_Registration_Information__c,Affected_by_COVID_19__c,All_Associated_Product_ID_s__c,Audiences__c,Cancelled_Program__c,Contacts_Reported__c,Contact_Information_Email__c,Contact_Information_Name__c,Contact_Information_Phone__c,Contact_Person__c,CreatedById,CreatedbyMe__c,CreatedDate,Delivery_Language__c,Eighth_Presenter__c,Eighth_Session_Beginning_Date_and_Time__c,Eighth_Session_End_Date_and_Time__c,Eleventh_Presenter__c,Eleventh_Session_End_Date__c,Eleventh_Session_Start_Date__c,End_Date_and_Time__c,Event_Category__c,Event_Duration__c,Event_Location_Site_Building__c,Event_Location_Street_Address__c,Event_Location_Zip_Code__c,Event_Location__c,Fifth_Presenter__c,Fifth_Related_Extension_Product__c,Fifth_Session_Beginning_Date_and_Time__c,Fifth_Session_End_Date_and_Time__c,First_Partner__c,First_Related_Extension_Product__c,First_Session_End_Date_Time__c,Fourth_Partner__c,Fourth_Presenter__c,Fourth_Related_Extension_Product__c,Fourth_Session_Beginning_Date_and_Time__c,Fourth_Session_End_Date_and_Time__c,Guest_Presenter__c,Id,Instructor_Information_Email__c,Instructor_Information_Name__c,Instructor_Information_Phone__c,IsDeleted,LastActivityDate,LastModifiedById,LastModifiedDate,LastReferencedDate,LastViewedDate,List_of_Affiliated_Extension_Products__c,List_of_Affiliated_Users__c,Locked_Record__c,Managed_by_CPM__c,Maximum_Number_of_Participants__c,Minimum_Number_of_Participants__c,My_Programs__c,Name,Name_Placeholder__c,New_Request_Edited_Request__c,Next_Start_Date__c,Ninth_Presenter__c,Ninth_Session_Beginning_Date_and_Time__c,Ninth_Session_End_Date_and_Time__c,OwnerId,Planned_Program_Question__c,Planned_Program_Website__c,Planned_Program__c,PrimaryProgramUnit__c,Primary_Instructor_Presenter__c,Program_Description__c,Program_Offering_Description__c,Program_Offering_Type_Override__c,Program_Offering_Website__c,Program_State__c,Public_Event__c,RecordTypeId,Registration_Cost_Per_Participant__c,Registration_Deadline__c,Registration_Link__c,Registration_Opens__c,Related_Contact_Record__c,Second_Partner__c,Second_Presenter__c,Second_Related_Extension_Product__c,Second_Session_Date_Time__c,Second_Session_End_Date_Time__c,Seventh_Presenter__c,Seventh_Session_Beginning_Date_and_Time__c,Seventh_Session_End_Date_and_Time__c,Sixth_Presenter__c,Sixth_Related_Extension_Product__c,Sixth_Session_Beginning_Date_and_Time__c,Sixth_Session_End_Date_and_Time__c,Start_Time_and_Date__c,Subject_Areas__c,SystemModstamp,Tenth_Presenter__c,Tenth_Session_Beginning_Date_and_Time__c,Tenth_Session_End_Date_and_Time__c,Third_Partner__c,Third_Presenter__c,Third_Related_Extension_Product__c,Third_Session_Begining_Date_and_Time__c,Third_Session_End_Date_and_Time__c,Twelfth_Presenter__c,Twelfth_Session_End_Date__c,Twelfth_Session_Start_Date__c,UngerboeckAccount__c,Ungerboeck_Anchor_Venue__c,Ungerboeck_Event_ID__c,Virtual_Program__c
0014600001er8DDAAY,,,FALSE,a054p00000CyLhv,,FALSE,FALSE,tgrewell@iastate.edu,Tim Grewell,(515) 296-3119,00546000001wdIcAAI,0054p000002cEWRAA2,FALSE,2020-09-17T15:28:35.000Z,,,,,,,,2017-04-08T22:30:00.000Z,Educational,TRUE,,Iowa State University,50010,Ames,,,,,,,2017-04-08T22:30:00.000Z,,,,,,,a0O4p000006bPcEEAU,bahanson@iastate.edu,Bailey Hanson,(515) 520-1436,FALSE,,0054p000002cEWRAA2,2021-01-26T14:32:31.000Z,,,GIS Short Courses,00546000001wdIc00546000001wdIf,FALSE,FALSE,,,FALSE,ExPrg-091720-2197,GIS Short Courses,Edited Program Offering,,,,,0054p000002cEWRAA2,FALSE,https://www.extension.iastate.edu/communities/gis/courses,a054p00000CyLhvAAF,Community and Economic Development,00546000001wdIfAAI,Data & Technology,,Community and Economic Development,,IA,TRUE,01246000000NiRlAAK,,,,9/17/2020,,,,,,,,,,,,,,2017-04-07T18:00:00.000Z,,2021-01-26T14:32:31.000Z,,,,,,,,,,,,16024,CAM,8473,FALSE
0014600001er8DDAAY,,,FALSE,a054p00000CyLhv,,FALSE,FALSE,bahanson@iastate.edu,Bailey Hanson,(515) 520-1436,00546000001wdIfAAI,0054p000002cEWRAA2,FALSE,2020-09-17T15:29:09.000Z,,,,,,,,2018-06-30T05:00:00.000Z,Educational,TRUE,"Ames, IA",,50010,Ames,,,,,,,2018-06-30T05:00:00.000Z,,,,,,,a0O4p000006bPfwEAE,bahanson@iastate.edu,Bailey Hanson,(515) 520-1436,FALSE,,0054p000002cEWRAA2,2021-01-26T14:32:31.000Z,,,GIS Short Courses,00546000001wdIf00546000001wdIf,FALSE,FALSE,,,FALSE,ExPrg-091720-2422,GIS Short Courses,Edited Program Offering,,,,,0054p000002cEWRAA2,FALSE,https://www.extension.iastate.edu/communities/gis/courses,a054p00000CyLhvAAF,Community and Economic Development,00546000001wdIfAAI,Data & Technology,,Community and Economic Development,,IA,TRUE,01246000000NiRlAAK,,,,9/17/2020,,,,,,,,,,,,,,2017-07-01T05:00:00.000Z,,2021-01-26T14:32:31.000Z,,,,,,,,,,,,16024,CAM,8602,FALSE
0014600001W2qg6AAB,,,FALSE,a054p00000CyLhv,,FALSE,FALSE,bahanson@iastate.edu,Bailey Hanson,(515) 520-1436,00546000001wdIfAAI,0054p000002cEWRAA2,FALSE,2020-09-17T15:29:09.000Z,,,,,,,,2017-08-25T21:30:00.000Z,Educational,TRUE,"Ames, IA",,50010,Ames,,,,,,,2017-08-25T21:30:00.000Z,,,,,,,a0O4p000006bPfxEAE,bahanson@iastate.edu,Bailey Hanson,(515) 520-1436,FALSE,,0054p000002cEWRAA2,2021-01-26T14:32:31.000Z,,,GIS Short Courses,00546000001wdIf00546000001wdIf,FALSE,FALSE,,,FALSE,ExPrg-091720-2423,GIS Short Courses,Edited Program Offering,,,,,0054p000002cEWRAA2,FALSE,https://www.extension.iastate.edu/communities/gis/courses,a054p00000CyLhvAAF,Community and Economic Development,00546000001wdIfAAI,Data & Technology,,Community and Economic Development,,IA,TRUE,01246000000NiRlAAK,,,,9/17/2020,,,,,,,,,,,,,,2017-08-24T13:30:00.000Z,,2021-01-26T14:32:31.000Z,,,,,,,,,,,,16024,STORY,8603,FALSE
0014600001W2qg6AAB,,,FALSE,a054p00000CyLhv,,FALSE,FALSE,bahanson@iastate.edu,Bailey Hanson,(515) 520-1436,00546000001wdIfAAI,0054p000002cEWRAA2,FALSE,2020-09-17T15:29:09.000Z,,,,,,,,2017-10-20T21:30:00.000Z,Educational,TRUE,"Ames, IA",,50010,Ames,,,,,,,2017-10-20T21:30:00.000Z,,,,,,,a0O4p000006bPfyEAE,bahanson@iastate.edu,Bailey Hanson,(515) 520-1436,FALSE,,0054p000002cEWRAA2,2021-01-26T14:32:31.000Z,,,GIS Short Courses,00546000001wdIf00546000001wdIf,FALSE,FALSE,,,FALSE,ExPrg-091720-2424,GIS Short Courses,Edited Program Offering,,,,,0054p000002cEWRAA2,FALSE,https://www.extension.iastate.edu/communities/gis/courses,a054p00000CyLhvAAF,Community and Economic Development,00546000001wdIfAAI,Data & Technology,,Community and Economic Development,,IA,TRUE,01246000000NiRlAAK,,,,9/17/2020,,,,,,,,,,,,,,2017-10-19T13:30:00.000Z,,2021-01-26T14:32:31.000Z,,,,,,,,,,,,16024,STORY,8604,FALSE
0014600001W2qg6AAB,,,FALSE,a054p00000CyLhv,,FALSE,FALSE,bahanson@iastate.edu,Bailey Hanson,(515) 520-1436,00546000001wdIfAAI,0054p000002cEWRAA2,FALSE,2020-09-17T15:29:43.000Z,,,,,,,,2018-04-20T01:00:00.000Z,Educational,TRUE,"Ames, IA",,50010,Ames,,,,,,,2018-04-20T01:00:00.000Z,,,,,,,a0O4p000006bPn1EAE,bahanson@iastate.edu,Bailey Hanson,(515) 520-1436,FALSE,,0054p000002cEWRAA2,2021-01-26T14:32:44.000Z,,,GIS Short Courses,00546000001wdIf00546000001wdIf00546000001wdP8,FALSE,FALSE,,,FALSE,ExPrg-091720-2846,GIS Short Courses,Edited Program Offering,,,,,0054p000002cEWRAA2,FALSE,https://www.extension.iastate.edu/communities/gis/courses,a054p00000CyLhvAAF,Community and Economic Development,00546000001wdIfAAI,Data & Technology,,Community and Economic Development,http://bit.ly/arcgisapril2018,IA,TRUE,01246000000NiRlAAK,,,,9/17/2020,,,00546000001wdP8AAI,,,,,,,,,,,2018-03-01T23:30:00.000Z,,2021-01-26T14:32:44.000Z,,,,,,,,,,,,16024,STORY,9338,FALSE
0014600001W2qg6AAB,,,FALSE,a054p00000CyLhv,,FALSE,FALSE,bahanson@iastate.edu,Bailey Hanson,(515) 520-1436,00546000001wdIfAAI,0054p000002cEWRAA2,FALSE,2020-09-17T15:29:43.000Z,,,,,,,,2018-04-06T21:30:00.000Z,Educational,TRUE,"Ames, IA",,50010,Ames,,,,,,,2018-04-06T21:30:00.000Z,,,,,,,a0O4p000006bPn2EAE,bahanson@iastate.edu,Bailey Hanson,(515) 520-1436,FALSE,,0054p000002cEWRAA2,2021-01-26T14:32:44.000Z,,,GIS Short Courses,00546000001wdIf00546000001wdIf,FALSE,FALSE,,,FALSE,ExPrg-091720-2847,GIS Short Courses,Edited Program Offering,,,,,0054p000002cEWRAA2,FALSE,https://www.extension.iastate.edu/communities/gis/courses,a054p00000CyLhvAAF,Community and Economic Development,00546000001wdIfAAI,Data & Technology,,Community and Economic Development,http://bit.ly/arcgisoctober2018,IA,TRUE,01246000000NiRlAAK,,,,9/17/2020,,,,,,,,,,,,,,2018-04-05T13:30:00.000Z,,2021-01-26T14:32:44.000Z,,,,,,,,,,,,16024,STORY,9339,FALSE
0014600001W2qg6AAB,,,FALSE,a054p00000CyLhv,,FALSE,FALSE,bahanson@iastate.edu,Bailey Hanson,(515) 520-1436,00546000001wdIfAAI,0054p000002cEWRAA2,FALSE,2020-09-17T15:30:02.000Z,,,,,,,,2018-04-19T05:00:00.000Z,Educational,TRUE,"Ames, IA",,50010,Ames,,,,,,,2018-04-19T05:00:00.000Z,,,,,,,a0O4p000006bPrsEAE,bahanson@iastate.edu,Bailey Hanson,(515) 520-1436,FALSE,,0054p000002cEWRAA2,2022-02-04T22:24:40.000Z,,,GIS Short Courses,00546000001wdIf00546000001wdIf,FALSE,FALSE,,,FALSE,ExPrg-091720-3142,GIS Short Courses,Edited Program Offering,,,,,0054p000002cEWRAA2,FALSE,https://www.extension.iastate.edu/communities/gis/courses,a054p00000CyLhvAAF,Community and Economic Development,00546000001wdIfAAI,Data & Technology,,Community and Economic Development,http://bit.ly/geospacial82018,IA,TRUE,01246000000NiRlAAK,,,,9/17/2020,,,,,,,,,,,,,,2018-04-19T05:00:00.000Z,,2022-02-04T22:24:40.000Z,,,,,,,,,,,,16024,STORY,10073,FALSE
0014600001W2qg6AAB,,,FALSE,a054p00000CyLhv,,FALSE,FALSE,bahanson@iastate.edu,Bailey Hanson,(515) 520-1436,00546000001wdIfAAI,0054p000002cEWRAA2,FALSE,2020-09-17T15:29:43.000Z,,,,,,,,2018-10-26T21:30:00.000Z,Educational,TRUE,"Ames, IA",,50010,Ames,,,,,,,2018-10-26T21:30:00.000Z,,,,,,,a0O4p000006bPn3EAE,bahanson@iastate.edu,Bailey Hanson,(515) 520-1436,FALSE,,0054p000002cEWRAA2,2021-01-26T14:32:44.000Z,,,GIS Short Courses,00546000001wdIf00546000001wdIf,FALSE,FALSE,,,FALSE,ExPrg-091720-2848,GIS Short Courses,Edited Program Offering,,,,,0054p000002cEWRAA2,FALSE,https://www.extension.iastate.edu/communities/gis/courses,a054p00000CyLhvAAF,Community and Economic Development,00546000001wdIfAAI,Data & Technology,,Community and Economic Development,http://bit.ly/arcgisjanuary2019,IA,TRUE,01246000000NiRlAAK,,,,9/17/2020,,,,,,,,,,,,,,2018-10-25T13:30:00.000Z,,2021-01-26T14:32:44.000Z,,,,,,,,,,,,16024,STORY,9340,FALSE
0014600001W2qg6AAB,,,FALSE,a054p00000CyLhv,,FALSE,FALSE,bahanson@iastate.edu,Bailey Hanson,(515) 520-1436,00546000001wdIfAAI,0054p000002cEWRAA2,FALSE,2020-09-17T15:31:16.000Z,,,,,,,,2019-03-05T02:30:00.000Z,Educational,TRUE,"Ames, IA",,50010,Ames,,,,,,,2019-03-05T02:30:00.000Z,,,,,,,a0O4p000006bQ65EAE,bahanson@iastate.edu,Bailey Hanson,(515) 520-1436,FALSE,,0054p000002cEWRAA2,2022-02-04T22:24:40.000Z,,,GIS Short Courses,00546000001wdIf00546000001wdIf,FALSE,FALSE,,,FALSE,ExPrg-091720-3998,GIS Short Courses,Edited Program Offering,,,,,0054p000002cEWRAA2,FALSE,https://www.extension.iastate.edu/communities/gis/courses,a054p00000CyLhvAAF,Community and Economic Development,00546000001wdIfAAI,Data & Technology,,Community and Economic Development,http://bit.ly/QGIS2019,IA,TRUE,01246000000NiRlAAK,,,,9/17/2020,,,,,,,,,,,,,,2019-03-05T00:30:00.000Z,,2022-02-04T22:24:40.000Z,,,,,,,,,,,,16024,STORY,12020,FALSE
0014600001W2qg6AAB,,,TRUE,a054p00000CyLhv,,TRUE,FALSE,bahanson@iastate.edu,Bailey Hanson,(515) 520-1436,00546000001wdIfAAI,0054p000002cEWRAA2,FALSE,2020-09-19T18:35:33.000Z,,,,,,,,2019-06-17T15:00:00.000Z,Educational,TRUE,"Ames, IA",,50010,Ames,,,,,,,2019-06-17T15:00:00.000Z,,,,,,,a0O4p000006bSEIEA2,bahanson@iastate.edu,Bailey Hanson,(515) 520-1436,FALSE,,0054p000002cEWRAA2,2022-02-04T22:24:40.000Z,2022-02-17T18:34:18.000Z,2022-02-17T18:34:18.000Z,GIS Short Courses,00546000001wdIf00546000001wdIf,FALSE,FALSE,,,FALSE,ExPrg-091920-6519,GIS Short Courses,Cancelled Program Offering,,,,,0054p000002cEWRAA2,FALSE,https://www.extension.iastate.edu/communities/gis/courses,a054p00000CyLhvAAF,Community and Economic Development,00546000001wdIfAAI,Data & Technology,,Community and Economic Development,https://registration.extension.iastate.edu/emc00/register.aspx?OrgCode=10&EvtID=15417&AppCode=REG&CC=120012476452,IA,TRUE,01246000000NiRlAAK,,,,9/19/2020,,,,,,,,,,,,,,2019-06-17T09:00:00.000Z,,2022-02-04T22:24:40.000Z,,,,,,,,,,,,16024,STORY,15417,FALSE
